지역,시정,현재기온,이슬점온도,체감온도,일강수,습도,풍향,해면기압
세종,20 이상,25.7,18.8,27.1, ,66,남동,1009.4
속초,20 이상,24.2,19.2,26.2, ,74,남동,1009.5
수원,7.5,26.9,22.0,29.0, ,75,남남서,1008.9
순창군,20 이상,24.7,19.3,26.6, ,72,남동,1008.7
순천,13.8,25.0,19.3,26.8, ,71,남서,1008.4
안동,19.8,24.7,15.0,25.3, ,55,남남동,1009.8
양산시,20 이상,26.5,17.5,27.3, ,58,동,1010.5
양평,19.6,26.5,19.8,28.0, ,67,남,1009.4
여수,17.7,23.4,18.7,25.5, ,75,북동,1009.0
영광군,12.8,26.3,20.1,28.0, ,69,북,1009.3
영덕,20 이상,24.0,17.7,25.6, ,68,동,1010.1
영월,20 이상,29.0,18.7,29.4, ,54,남남동,1007.9
영주,19.8,23.8,18.8,25.8, ,74,남남동,1009.6
영천,20 이상,23.8,16.0,24.9, ,62,동,1010.1
완도,20 이상,24.2,19.6,26.4, ,76,동,1009.2
울릉도,20 이상,22.8,19.3,25.3, ,81,동북동,1010.3
울산,20 이상,24.3,17.5,25.7, ,66,동,1009.6
울진,7.6,21.8,17.5,24.0, ,77,동,1010.5
원주,13.2,27.1,18.3,28.0, ,59,북,1008.3
의령군,18.0,25.1,17.5,26.3, ,63,동남동,1009.4
의성,20 이상,26.0,17.0,26.8, ,58,북북서,1008.4
이천,3.6,26.8,22.4,29.1, ,77,남남서,1009.0
인제,20 이상,26.8,18.9,27.9, ,62,남남동,1008.6
인천,8.7,25.8,20.1,27.6, ,71,서남서,1008.7
임실,6.3,23.5,19.4,25.8, ,78,남남동,1009.0
장수,16.9,25.4,19.0,27.0, ,68,북,1007.9
장흥,14.3,24.9,20.5,27.1, ,77,남남동,1008.8
정선군,11.1,26.0,16.5,26.6, ,56,북북동,1008.3
정읍,7.6,26.4,20.7,28.2, ,71,북,1009.0
제주,20 이상,24.0,19.2,26.1, ,75,북북동,1009.4
제천,19.6,25.6,16.4,26.3, ,57,남남동,1008.8
진도군,19.2,24.0,19.9,26.3, ,78,남동,1008.6
진주,16.7,24.2,19.6,26.4, ,76,서남서,1009.5
창원,20 이상,25.6,15.8,26.2, ,55,북북동,1009.1
천안,8.5,25.8,20.1,27.6, ,71,남남동,1009.1
철원,16.1,27.3,23.1,29.7, ,78,북서,1008.3
청송군,20 이상,25.3,17.4,26.4, ,62,동,1009.3
청주,8.4,26.3,20.1,28.0, ,69,남,1008.9
추풍령,13.3,23.6,18.0,25.4, ,71,남서,1008.7
충주,16.0,27.1,20.9,28.8, ,69,북북동,1008.6
태백,20 이상,25.1,15.1,25.6, ,54,동북동,1007.1
통영,19.4,25.6,17.5,26.6, ,61,북북서,1009.6
파주,18.5,27.1,22.7,29.4, ,77,서남서,1009.1
포항,20 이상,22.9,18.0,24.9, ,74,북동,1010.6
함양군,20 이상,24.0,19.0,26.0, ,74,서북서,1008.9
합천,14.8,24.9,19.0,26.6, ,70,남남동,1009.6
해남,19.0,25.3,19.8,27.2, ,72,동남동,1009.2
홍성,20 이상,26.6,20.2,28.2, ,68,남남동,1009.0
홍천,20 이상,27.1,18.1,27.9, ,58,서북서,1008.5
흑산도,20 이상,24.4,19.8,26.6, ,76,동북동,1009.3
