역,시정,현재기온,이슬점온도,체감온도,일강수,습도,풍향,해면기압
영월,20 이상,24.7,12.6,24.6,0.6,47,북북서,1004.1
영주,20 이상,23.2,17.8,25.1,3.8,72,북동,1005.4
영천,20 이상,20.4,16.6,22.7,3.1,79,동,1006.4
완도,20 이상,22.5,18.0,24.6,0.1,76,서,1005.1
울릉도,20 이상,18.6,17.0,21.7,0.1,91,동북동,1005.4
울산,19.9,20.5,18.9,23.6,0.6,91,북동,1006.0
울진,20 이상,20.8,17.0,23.1, ,79,북북서,1006.5
원주,20 이상,25.2,14.3,25.4,2.3,51,서북서,1004.1
의령군,18.6,21.0,18.9,23.9,6.5,88,남동,1005.6
의성,20 이상,21.9,17.6,24.1,0.1,77,남남서,1004.5
이천,20 이상,25.1,16.5,26.0,0.3,59,동북동,1005.0
인제,20 이상,28.5,13.1,27.5,0.1,39,북북동,1003.5
인천,20 이상,25.1,15.4,25.7,0.0,55,서남서,1004.4
임실,20 이상,21.2,18.5,23.9,3.0,85,남남동,1004.8
장수,20 이상,20.9,18.6,23.8,4.4,87,남서,1004.2
장흥,3.1,20.1,19.0,23.4,4.5,94,남동,1005.0
전주,5.9,21.1,20.0,24.4,6.5,94,동북동,1004.5
정선군,20 이상,26.0,16.2,26.5,0.1,55,남,1003.6
정읍,6.6,20.5,18.9,23.6,10.2,91,남남서,1004.6
제주,20 이상,23.2,19.3,25.6,0.0,79,서북서,1006.1
제천,19.6,24.5,14.5,25.0,1.1,54,남동,1004.4
진도군,20 이상,23.6,19.7,26.0,0.3,79,서,1004.7
진주,10.8,20.3,19.4,23.7,6.3,95,남남서,1005.7
창원,19.9,19.7,17.8,22.7,4.3,89,남동,1005.7
천안,20 이상,24.9,18.1,26.3,1.4,66,동남동,1004.4
철원,20 이상,28.5,17.9,28.8,0.0,53,북서,1003.3
청송군,9.8,19.6,18.2,22.7,0.5,92,동,1006.2
청주,20 이상,25.7,17.6,26.7,3.9,61,남남동,1004.3
추풍령,19.4,20.3,17.1,22.8,6.4,82,동북동,1004.7
춘천,20 이상,27.6,15.5,27.5,0.0,48,서,1003.9
충주,20 이상,24.2,17.4,25.6,3.1,66,동,1004.3
태백,20 이상,17.8,13.7,20.0,0.0,77,동,1004.5
통영,19.9,20.8,18.7,23.7,1.0,88,남동,1005.7
파주,17.6,27.7,16.6,27.9, ,51,정온,1004.5
포항,20 이상,20.9,16.9,23.2,2.5,78,북북동,1006.5
함양군,8.9,20.9,19.0,23.9,9.0,89,동북동,1005.1
합천,20 이상,21.5,18.8,24.2,9.3,85,동,1005.7
해남,20 이상,22.2,17.9,24.4,2.8,77,정온,1005.2
홍성,20 이상,25.4,18.0,26.7,2.8,64,북북동,1004.2
홍천,20 이상,26.0,16.2,26.5, ,55,서남서,1004.2
흑산도,20 이상,22.7,19.2,25.2, ,81,북서,1005.3
